fake_student_id,time_stamp,class,cs_ds,co_op,python_exp,dream_career,hobby,song,ai_feels,age_months,pets,credit_hours,work_hours
1820,9/5/2024 16:09,Sophomore,DS (incl. combined),No,2,data scientists,gaming,Counterclockwise clock(https://open.spotify.com/track/5CrShYXYibJD0kx4q56xhZ?si=e738daf0d3c446e3),Meh.,239,3,18,0
1138,9/5/2024 16:22,Junior,CS (incl. combined),Yes,2,Banking,Bartending,https://open.spotify.com/track/5E6AoOwwAIbVqx9J6i7ccj?si=548129b6daca4f1f,"I think it's the future, and the future looks great!",255,0,18,0
1622,9/5/2024 16:52,5th year,"Pharmaceutical Sciences, minors in Math and Japanese",Yes,2,"Computational linguist, NLP",Learning languages,https://open.spotify.com/intl-ja/track/64qXobpGe6VOm0ybMsMvZS?si=a2b4d61c82a044ca,I'm a bit worried it might be used for ill.,292,6,16,0
1015,9/5/2024 17:09,Junior,"Minoring in DS, major: Computer Engineering",Yes,3,Digital Design Engineer/Computer Architecture career,Reading,https://open.spotify.com/track/45xiC13XQsLhV57FxQLlLV?si=be60e862065f435f,I'm a bit worried it might be used for ill.,248,0,18,10
1403,9/5/2024 17:13,Sophomore,CS (incl. combined),No,1,"No clue, to be honest",Anything that involves coffee,Seabird - Alessi Brothers (https://open.spotify.com/track/1iUpSRmgnbTRqU0Pb217qI?si=a0d1a4b6a4ca43cc),I'm a bit worried it might be used for ill.,249,4,16,0
1502,9/5/2024 17:21,Sophomore,CS (incl. combined),No,1,"No clue, to be honest","Anything that involves coffee, but mostly sitting outside.",Seabirds - Alessi Brothers (https://open.spotify.com/track/1iUpSRmgnbTRqU0Pb217qI?si=a2a27219e20644f5),I'm a bit worried it might be used for ill.,249,4,16,0
1508,9/5/2024 17:31,Junior,DS (incl. combined),Yes,3,Data analysis in neuroscience,Exploring,"Silk Chiffon - MUNA, https://open.spotify.com/track/5ECxiK4Vigo1yRRmAoZc1f?si=ab51aad782a84534",I'm a bit worried it might be used for ill.,247,0,20,0
1140,9/5/2024 17:41,Sophomore,CS (incl. combined),No,4,I am pursuing a career in CS and would love to have a start up somedeay,Photography,https://open.spotify.com/track/0yc6Gst2xkRu0eMLeRMGCX?si=5341d6c05c724ca5,I'm a bit worried it might be used for ill.,237,0,16,0
1209,9/5/2024 19:26,Sophomore,DS (incl. combined),No,2,"Not entirely sure yet, but hopefully something related to the environment.",Playing basketball with friends.,My favorite song right now is 《不称职的天才》 by my favorite Chinese artist Yitai Wang. https://open.spotify.com/track/4U3thcLsoy8Ty9cTv94Ex2?si=5ca9cbcbe3904d83,"I think it's the future, and the future looks great!",249,2,16,0
1176,9/5/2024 21:01,Sophomore,CS (incl. combined),No,3,"Haven't decided yet, something either in the field of computer science and data or cybersecurity.",Watching tv shows or playing tennis,Glimpse of us by Joji: https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ?si=686a00e316aa4708,"It will be useful, but it won't change the world signicantly.",229,1,18,0
1419,9/5/2024 21:06,Senior,DS minor,Yes,3,"scientist in biotech, ideally related to immunology",running,Paper Planes https://open.spotify.com/track/5GzgEC6pWf1USZsCtkG8yC?si=cd600c11d03d4c79,"It will be useful, but it won't change the world signicantly.",263,3,16,0
1542,9/5/2024 22:38,Junior,Industrial Engineering major (DS minor),Yes,2,Industrial engineer,Going to concerts,Supercut by Lorde (https://open.spotify.com/track/6K8VQ84MqhsoakN5MjrnVR?si=507e961440534299),"I think it's the future, and the future looks great!",237,2,17,0
1295,9/6/2024 1:20,Sophomore,CS (incl. combined),No,1,Software Engineer / Living a happy life,Swimming,https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM?si=ec0329ff57cd456f,"I think it's the future, and the future looks great!",230,1,16,0
1416,9/6/2024 1:29,Junior,DS (incl. combined),Yes,3,"Quantitative or research based financial roles: Market Risk, Quantatative Trading, Financial Analysis",Cycling,I Ran (So Far Away) - https://open.spotify.com/track/4OdhffpvG3HxDJMxYOKh97,"It will be useful, but it won't change the world signicantly.",240,0,17,0
1275,9/6/2024 2:04,Sophomore,CS (incl. combined),No,3,"Tech consulting, software developer, I'm also open to new jobs.",I like writing articles.,The Black Dog - https://open.spotify.com/track/62E2nR0od0M5HYxuYLaDz7,"It will be useful, but it won't change the world signicantly.",238,0,18,0
1526,9/6/2024 10:38,Sophomore,DS (incl. combined),No,3,Marketing Analyst,Dancing,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy?si=fa1611f8d7ad4ebd,"It will be useful, but it won't change the world signicantly.",232,1,16,15
1090,9/6/2024 12:43,Sophomore,DS (incl. combined),No,1,not sure,any outdoor activity ,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL?si=d36242f4e89e4b04,"I think it's the future, and the future looks great!",232,0,18,
1591,9/6/2024 13:45,Sophomore,DS (incl. combined),No,2,Project Manager,running,Ode to a Conversation Stuck in Your Throat https://open.spotify.com/track/51Lf3l6wx008NdBxCQnD6B?si=c64d87eebcba4a2e ,"I think it's the future, and the future looks great!",230,1,17,10
1710,9/6/2024 22:51,Junior,CS (incl. combined),No,4,Make some cool games or apps,Stay home with my cats and do nothing,https://open.spotify.com/track/2N61DUSk4oIZdrSY3ifuTT?si=08380d2007d5419c,"I think it's the future, and the future looks great!",,,16,
